,name,vendor,price
0,BROWKIES RUMPUT LAUT (ISI 3 PACK),D'Ipey - Makassar , Rp 45.000
1,Sambal Goreng Ikan Asin Toples,Mickey Mouse - Banjarmasin , Rp 45.000
2,DENDENG AYAM SLICE KUKURUYUK MAKANAN SIAP SAJI ORIGINAL - 200 GRAM,Dendeng Kukuruyuk - Bandung , Rp 75.000
3,Kemplang Goreng Cumi 1/2 Kilo,Toko Lck - Pangkal Pinang , Rp 96.000
4,Picnic Roll Beef,CV. Prima Rasa - Bandung , Rp 81.700
5,FISH SKIN ORIGINAL FOOD MATANG (ISI 2 PACK @250GR),Raja Patin - Medan , Rp 50.000
6,SAMBEL SEBLAK TIDAK PEDAS ISI 5 BOTOL,Nu Ibun - Bandung , Rp 75.000
7,TEKWAN RUMPUT LAUT,Khaniya's Frozen - Bontang , Rp 75.000
8,TEH DAUN TIN (ISI 25 PCS),Zahra Florist - Bontang , Rp 25.000
9,Papapia Kacang Hijau,Papapia - Bogor , Rp 42.000
10,MINYAK SEREH 60 ML,T. Orens - Makasar , Rp 85.000
11,KERIPIK BAWANG,Delis Delen - Cilegon , Rp 22.000
12,Wedang Jahe Secang,Yopi Homade - Cilegon , Rp 12.500
13,Toarco Toraja Powder,Toarco Toraja - Makasar , Rp 69.000
14,KULIT PASTRY/PUFF PASTRY,Kanung Bakery - Bogor , Rp 31.500
15,Sambal Cabe Ijo (Isi 2 botol),Bridechili - Bogor  , Rp 60.000
16,Kemplang Goreng I / Udang,Yunna Snack - Pangkal Pinang , Rp 52.500
17,JAHE INSTAN PLUS REMPAH 250 GR,Rumah Berkah - Yogyakarta , Rp 35.000
18,COKLAT METE,Athifah - Kendari , Rp 25.000
19,Keripik Pisang Keju (isi 3 bungkus),Mekarsari - Kediri , Rp 45.000
20,KUE BAWANG,Turunan Cabe - Medan, Rp 10.000
21,ABON EBI,Turunan Cabe - Medan, Rp 15.000
22,SAOS CABE 140ML,Turunan Cabe - Medan, Rp 10.000
23,KACANG INTIP MANIS GURIH,Cahaya Syajaril - Medan, Rp 10.000
24,MANISAN CABAI,Cahaya Syajaril - Medan, Rp 15.000
25,MUSHOME CHIPS NORI SALTED EGG,Meatless Kingdom - Bandung, Rp 30.500
26,MUSHOME CHIPS NORI ORIGINAL,Meatless Kingdom - Bandung, Rp 25.500
27,MUSHOME CHIPS BBQ,Meatless Kingdom - Bandung, Rp 20.500
28,MUSHOME CHIPS JAGUNG BAKAR,Meatless Kingdom - Bandung, Rp 20.500
29,MUSHOME CHIPS KEJU,Meatless Kingdom - Bandung, Rp 20.500
30,MUSHOME CHIPS PEDAS,Meatless Kingdom - Bandung, Rp 20.500
31,MUSHOME CHIPS JAMUR ORIGINAL,Meatless Kingdom - Bandung, Rp 20.500
32,GEPUK PLANT BASED 150GR,Meatless Kingdom - Bandung, Rp 45.000
33,DENDENG PEDAS PLANT BASED 150GR,Meatless Kingdom - Bandung, Rp 57.000
34,DENDENG MANIS PLANT BASED 150GR,Meatless Kingdom - Bandung, Rp 55.000
35,RENDANG PLANT BASED 250GR,Meatless Kingdom - Bandung, Rp 75.500
36,KARTIKA TOAST HAMPERS MINI PACK,Paket Hampers Kartika Inti Sejati - Bandung, Rp 100.000
37,KARTIKA TOAST HAMPERS REGULER 5S,Paket Hampers Kartika Inti Sejati - Bandung, Rp 240.000
38,KARTIKA TOAST HAMPERS REGULER 3S,Paket Hampers Kartika Inti Sejati - Bandung, Rp 140.000
39,Java Mocha Robusta Temanggung,PESONA Express, Rp 28.000
40,BOLU MERANTI STANDAR KEJU,Meranti - Medan, Rp 95.000
41,Pempek Candy Paket 1,Pempek Candy - Palembang, Rp 110.000
42,Tahu Bakso,Tahu Bakso Bu Pudji - Semarang, Rp 42.000
43,BOLU MERANTI TOPPING KEJU,Meranti - Medan, Rp 115.000
44,Kripik Balado Kristine Hakim 500Gr,Toko Kristin Hakim - Padang, Rp 50.000
45,Pempek Candy Paket 2,Pempek Candy - Palembang, Rp 165.000
46,Pempek Candy Paket 3,Pempek Candy - Palembang, Rp 220.000
47,Brownis Amanda Original Coklat,Brownies Amanda - Bandung, Rp 43.000
48,BOLU MERANTI STANDARD MOCCA,Meranti - Medan, Rp 85.000
49,Bika Ambon Original,Zulaikha - Medan, Rp 86.000
50,Bolu Meranti Topping Meses Keju,Meranti - Medan, Rp 115.000
51,KUE KERANJANG SPECIAL ISI 3PCS,Kue Keranjang - Jakarta, Rp 20.000
52,Pempek Vico Isi 35,Pempek Vico - Palembang, Rp 110.000
53,BOLU MERANTI TOPPING MESES MOCCA,Meranti - Medan, Rp 105.000
54,Bolu Meranti Topping Keju Isi Keju,Meranti - Medan, Rp 115.000
55,Batagor Kingsley (Isi 10pcs-Matang),Batagor Kingsley - Bandung, Rp 145.000
56,BOLU MERANTI STANDARD KEJU,Meranti - Medan, Rp 95.000
57,Molen Pisang Coklat Keju Mini,Kartika Sari - Bandung, Rp 65.000
58,Picnic Roll Beef,CV. Prima Rasa - Bandung, Rp 81.700
59,Sambal Bawang Bu Rudy (Isi 2),Sambal Bu Rudi - Surabaya, Rp 54.000
